Land,Klicks,Impressionen,CTR,Position
Deutschland,3,499,0.6%,4.25
Schweiz,1,34,2.94%,7.03
Indien,1,3,33.33%,4
USA,0,53,0%,5.21
Österreich,0,26,0%,1.46
Brasilien,0,5,0%,2
Vietnam,0,4,0%,1.75
Spanien,0,4,0%,4
Italien,0,3,0%,3
Niederlande,0,3,0%,4
Ukraine,0,3,0%,5.33
Polen,0,3,0%,13.67
Kanada,0,2,0%,1.5
Iran,0,2,0%,3.5
Vereinigtes Königreich,0,2,0%,6
Zypern,0,1,0%,1
Liechtenstein,0,1,0%,1
Philippinen,0,1,0%,1
Türkei,0,1,0%,1
Australien,0,1,0%,3
Tansania,0,1,0%,5
Slowakei,0,1,0%,6
Südafrika,0,1,0%,8
Frankreich,0,1,0%,9
Singapur,0,1,0%,10
Kolumbien,0,1,0%,11
Georgien,0,1,0%,11
Luxemburg,0,1,0%,11
Malaysia,0,1,0%,11
Pakistan,0,1,0%,11
Japan,0,1,0%,99